T;Ax;Ay;Az;CLASS
15200.00;-0.68;-0.19;0.74;Positive
15250.00;-0.64;-0.22;0.75;Positive
15300.00;-0.64;-0.23;0.78;Positive
15350.00;-0.64;-0.23;0.77;Positive
15400.00;-0.62;-0.22;0.74;Positive
15450.00;-0.64;-0.22;0.77;Positive
15500.00;-0.61;-0.20;0.76;Positive
15550.00;-0.65;-0.21;0.78;Positive
15600.00;-0.65;-0.22;0.77;Positive
15650.00;-0.73;-0.22;0.83;Positive
15700.00;-0.64;-0.22;0.77;Positive
15750.00;-0.51;-0.21;0.82;Positive
15800.00;-0.62;-0.19;0.91;Positive
15850.00;-0.71;-0.15;1.04;Positive
15900.00;-0.35;-0.21;0.94;Positive
15950.00;-0.53;-0.17;0.72;Positive
16000.00;0.16;-0.23;-0.10;Positive
16050.00;1.42;-0.21;-1.11;Positive
16100.00;2.00;-0.06;-1.01;Positive
16150.00;0.12;-0.04;0.15;Positive
16200.00;1.43;-0.26;-0.34;Positive
16250.00;1.33;-0.23;-0.29;Positive
16300.00;0.70;-0.14;0.02;Positive
16350.00;0.31;-0.26;0.02;Positive
16400.00;-0.79;-0.34;0.35;Positive
16450.00;-1.47;-0.22;0.87;Positive
16500.00;-1.52;-0.28;1.10;Positive
16550.00;-0.47;-0.26;0.66;Positive
16600.00;-0.44;-0.28;0.66;Positive
16650.00;-0.76;-0.22;0.77;Positive
16700.00;-0.69;-0.24;0.73;Positive
16750.00;-0.61;-0.23;0.73;Positive
16800.00;-0.64;-0.25;0.76;Positive
16850.00;-0.68;-0.26;0.78;Positive
16900.00;-0.63;-0.26;0.76;Positive
16950.00;-0.65;-0.24;0.76;Positive
17000.00;-0.64;-0.23;0.74;Positive
17050.00;-0.63;-0.23;0.75;Positive
17100.00;-0.64;-0.23;0.76;Positive
17150.00;-0.63;-0.23;0.76;Positive
17200.00;-0.71;-0.24;0.82;Positive
17250.00;-0.66;-0.24;0.81;Positive
17300.00;-0.68;-0.23;0.90;Positive
17350.00;-0.61;-0.24;0.89;Positive
17400.00;-0.50;-0.23;0.97;Positive
17450.00;-0.61;-0.22;0.98;Positive
17500.00;-0.07;-0.19;-0.57;Positive
17550.00;1.83;-0.34;-0.81;Positive
17600.00;1.61;-0.19;-0.48;Positive
17650.00;0.68;-0.06;-0.03;Positive
17700.00;1.27;-0.23;-0.25;Positive
17750.00;1.24;-0.25;-0.22;Positive
17800.00;0.68;-0.16;-0.06;Positive
17850.00;-0.16;-0.20;-0.16;Positive
17900.00;-1.66;-0.10;0.21;Positive
17950.00;-1.98;0.05;1.21;Positive
18000.00;-0.74;-0.05;0.67;Positive
18050.00;-0.33;-0.26;0.57;Positive
18100.00;-0.75;-0.07;0.76;Positive
18150.00;-0.79;-0.08;0.75;Positive
18200.00;-0.61;-0.12;0.72;Positive
18250.00;-0.62;-0.12;0.74;Positive
18300.00;-0.70;-0.12;0.78;Positive
18350.00;-0.65;-0.13;0.76;Positive
18400.00;-0.66;-0.12;0.76;Positive
18450.00;-0.66;-0.13;0.76;Positive
18500.00;-0.68;-0.10;0.76;Positive
18550.00;-0.67;-0.14;0.76;Positive
18600.00;-0.69;-0.10;0.80;Positive
18650.00;-0.64;-0.09;0.81;Positive
18700.00;-0.70;-0.12;0.92;Positive
18750.00;-0.64;-0.15;1.01;Positive
18800.00;-0.40;-0.20;0.97;Positive
18850.00;-0.25;-0.13;0.93;Positive
18900.00;-0.34;-0.16;0.74;Positive
18950.00;0.37;-0.23;-0.45;Positive
19000.00;1.91;-0.45;-0.96;Positive
19050.00;1.02;-0.18;-0.16;Positive
19100.00;0.75;-0.15;-0.08;Positive
19150.00;1.33;-0.34;-0.26;Positive
19200.00;1.06;-0.23;-0.08;Positive
19250.00;0.58;-0.16;0.15;Positive
19300.00;-0.12;-0.25;0.12;Positive
19350.00;-1.13;-0.15;0.49;Positive
19400.00;-1.60;-0.19;1.03;Positive
19450.00;-1.03;-0.12;0.98;Positive
19500.00;-0.48;-0.25;0.69;Positive
19550.00;-0.57;-0.19;0.71;Positive
19600.00;-0.68;-0.16;0.76;Positive
19650.00;-0.66;-0.18;0.73;Positive
19700.00;-0.58;-0.16;0.73;Positive
19750.00;-0.70;-0.19;0.79;Positive
19800.00;-0.63;-0.20;0.78;Positive
19850.00;-0.64;-0.19;0.77;Positive
19900.00;-0.65;-0.17;0.75;Positive
19950.00;-0.64;-0.18;0.78;Positive
20000.00;-0.71;-0.17;0.82;Positive
20050.00;-0.78;-0.18;0.92;Positive
20100.00;-0.69;-0.19;0.97;Positive
20150.00;-0.39;-0.21;0.93;Positive
20200.00;-0.18;-0.21;0.87;Positive
20250.00;-0.09;-0.18;0.92;Positive
20300.00;-0.13;-0.12;-0.05;Positive
20350.00;1.80;-0.23;-0.73;Positive
20400.00;1.66;-0.29;-0.54;Positive
20450.00;0.53;-0.05;0.13;Positive
20500.00;1.28;-0.19;-0.15;Positive
20550.00;1.35;-0.35;-0.31;Positive
20600.00;0.82;-0.17;-0.07;Positive
20650.00;0.14;-0.11;0.22;Positive
20700.00;-0.84;-0.17;0.83;Positive
20750.00;-1.41;0.08;1.01;Positive
20800.00;-0.97;0.03;1.04;Positive
20850.00;-0.45;-0.16;0.74;Positive
20900.00;-0.61;-0.10;0.81;Positive
20950.00;-0.60;-0.06;0.84;Positive
21000.00;-0.53;-0.09;0.77;Positive
21050.00;-0.61;-0.06;0.84;Positive
21100.00;-0.62;-0.09;0.86;Positive
21150.00;-0.55;-0.12;0.85;Positive
21200.00;-0.58;-0.11;0.84;Positive
21250.00;-0.57;-0.10;0.83;Positive
21300.00;-0.58;-0.11;0.81;Positive
21350.00;-0.64;-0.10;0.85;Positive
21400.00;-0.66;-0.10;0.91;Positive
21450.00;-0.68;-0.09;0.95;Positive
21500.00;-0.50;-0.14;1.00;Positive
21550.00;-0.38;-0.16;1.00;Positive
21600.00;-0.41;-0.14;0.93;Positive
21650.00;0.18;-0.19;0.25;Positive
21700.00;1.15;-0.32;-0.29;Positive
21750.00;1.27;-0.22;-0.14;Positive
21800.00;1.25;-0.27;-0.25;Positive
21850.00;1.06;-0.17;-0.12;Positive
21900.00;1.06;-0.23;-0.08;Positive
21950.00;0.80;-0.16;0.15;Positive
22000.00;0.26;-0.16;0.33;Positive
22050.00;-0.49;-0.19;0.41;Positive
22100.00;-1.24;-0.15;0.66;Positive
22150.00;-1.53;-0.01;1.13;Positive
22200.00;-0.93;-0.08;0.81;Positive
22250.00;-0.38;-0.23;0.59;Positive
22300.00;-0.63;-0.16;0.73;Positive
22350.00;-0.79;-0.11;0.78;Positive
22400.00;-0.62;-0.16;0.72;Positive
22450.00;-0.65;-0.17;0.76;Positive
22500.00;-0.68;-0.14;0.80;Positive
22550.00;-0.65;-0.16;0.75;Positive
22600.00;-0.66;-0.14;0.75;Positive
22650.00;-0.68;-0.13;0.77;Positive
22700.00;-0.65;-0.14;0.78;Positive
22750.00;-0.65;-0.16;0.79;Positive
22800.00;-0.76;-0.13;0.93;Positive
22850.00;-0.89;-0.12;1.10;Positive
22900.00;-0.65;-0.18;0.88;Positive
22950.00;-0.52;-0.12;0.67;Positive
23000.00;0.11;-0.16;-0.19;Positive
23050.00;1.42;-0.25;-0.65;Positive
23100.00;1.97;-0.36;-0.85;Positive
23150.00;0.60;-0.07;-0.04;Positive
23200.00;1.25;-0.23;-0.19;Positive
23250.00;1.23;-0.31;-0.16;Positive
23300.00;0.62;-0.12;0.08;Positive
23350.00;-0.14;-0.27;0.15;Positive
23400.00;-1.09;-0.12;0.50;Positive
23450.00;-1.58;-0.06;1.09;Positive
23500.00;-1.00;-0.06;1.09;Positive
23550.00;-0.27;-0.34;0.66;Positive
23600.00;-0.33;-0.19;0.81;Positive
23650.00;-0.62;-0.13;0.87;Positive
23700.00;-0.55;-0.17;0.83;Positive
23750.00;-0.48;-0.17;0.83;Positive
23800.00;-0.54;-0.17;0.88;Positive
23850.00;-0.52;-0.19;0.88;Positive
23900.00;-0.52;-0.19;0.86;Positive
23950.00;-0.51;-0.18;0.84;Positive
24000.00;-0.57;-0.18;0.86;Positive
24050.00;-0.64;-0.18;0.97;Positive
24100.00;-0.62;-0.17;1.00;Positive
